Posicoes do VANT [X Y Z qX qY qZ qW]

[
 1.61895e-319 6.90241e-310 2.71736e-322 -nan -nan -nan -nan;
 2.43006 -0.911591 8.50678 -0.0545667 -0.116462 0.989361 -0.0680003;
 2.22982 -0.70812 8.53258 -0.114406 -0.19401 0.971837 -0.0693088;
 2.11684 -0.60054 8.53652 -0.160469 -0.220394 0.958599 -0.0822429;
 1.88262 -0.38496 8.55315 -0.18332 -0.172496 0.962265 -0.103373;
 1.66041 -0.174815 8.58057 -0.0040853 0.00526553 0.993942 -0.109702;
 1.44952 0.0234757 8.59927 0.115573 0.174249 0.970796 -0.117625;
 1.33866 0.126882 8.61965 0.102175 0.116475 0.978762 -0.134235;
 1.21941 0.23427 8.64345 0.0120598 0.0911756 0.988659 -0.118725;
 1.14257 0.303362 8.64991 0.0556197 0.0826454 0.986861 -0.127208;
 1.11986 0.323842 8.65285 0.0336166 0.0189593 0.990758 -0.130036;
 1.02132 0.404889 8.67675 -0.0217494 -0.143137 0.980095 -0.135839;
 0.950999 0.453753 8.69338 0.0369393 -0.147747 0.979435 -0.132338;
 0.824486 0.51964 8.71898 0.0569883 -0.152353 0.976874 -0.138776;
 0.742416 0.55091 8.73667 0.0339777 -0.221075 0.965488 -0.133434;
 0.579554 0.594009 8.74627 0.0685375 -0.246909 0.95965 -0.115805;
 0.400326 0.623352 8.7732 0.0481941 -0.0452005 0.989895 -0.125465;
 0.286112 0.638139 8.79127 0.0154967 0.0211373 0.991602 -0.126646;
 0.118802 0.656887 8.81246 0.0549516 -0.152242 0.980022 -0.115584;
 0.00235341 0.664527 8.82336 0.0987403 -0.1606 0.977031 -0.0993397;
 -0.16724 0.661052 8.8521 0.0558565 0.0337399 0.993277 -0.0956112;
 -0.334445 0.644556 8.85373 0.0396823 0.206059 0.973482 -0.0910953;
 -0.475111 0.627873 8.79059 0.00980205 0.248607 0.965356 -0.0786513;
 -0.555297 0.614262 8.72785 -0.00359099 0.2318 0.96991 -0.0743641;
 -0.631093 0.589806 8.64482 0.136515 0.184519 0.967661 -0.104635;
 -0.680692 0.533682 8.55827 0.228736 0.176277 0.951172 -0.108991;
 -0.701395 0.474364 8.48596 0.145548 0.237776 0.956803 -0.0824964;
 -0.687731 0.377593 8.41477 0.0689468 0.161348 0.982121 -0.0681984;
 -0.63106 0.27137 8.42355 0.11291 0.214859 0.967277 -0.0739029;
 -0.53182 0.142401 8.45498 0.142999 0.288172 0.943215 -0.0827862;
 -0.452444 0.0462789 8.45984 0.109677 0.223519 0.96462 -0.0867085;
 -0.320873 -0.0820417 8.48258 -0.0355411 0.228132 0.969607 -0.0809609;
 -0.158722 -0.204977 8.50108 -0.0268621 0.299013 0.950955 -0.0745225;
 0.0217749 -0.300653 8.50657 -0.0676399 0.172437 0.980255 -0.0692129;
 0.150384 -0.357906 8.52349 -0.0843943 0.184739 0.975328 -0.0865089;
 0.3687 -0.431719 8.55401 -0.0338088 0.165304 0.982601 -0.0776331;
 0.503193 -0.471768 8.56917 -0.0446834 0.0815153 0.991668 -0.0891849;
 0.696832 -0.531153 8.58997 -0.0349042 0.192049 0.975958 -0.0969737;
 0.90198 -0.586723 8.5423 -0.132291 0.206152 0.965247 -0.0911017;
 1.09641 -0.628184 8.44273 -0.225339 0.0985363 0.96742 -0.0600946;
 1.22367 -0.62896 8.38135 -0.212706 -0.0244767 0.974705 -0.0640807;
 1.39695 -0.585725 8.30872 -0.198815 -0.131536 0.968265 -0.0750645;
 1.48652 -0.489062 8.29826 -0.149625 -0.227944 0.960166 -0.0611234;
 1.51305 -0.366152 8.32628 -0.0731242 -0.270687 0.958936 -0.0427079;
 1.50178 -0.291107 8.33412 0.0239117 -0.260148 0.965077 -0.0194283;
 1.43154 -0.189041 8.36029 -0.0245985 -0.317918 0.946925 -0.0406892;
 1.31855 -0.102152 8.3764 -0.0799606 -0.247952 0.963427 -0.0627317;
 1.15926 -0.00213695 8.40181 -0.0295159 -0.226116 0.9717 -0.0616342;
 0.991705 0.0904036 8.41361 -0.106659 -0.272287 0.953313 -0.0753495;
 0.770454 0.20583 8.42124 -0.10466 -0.185579 0.972775 -0.0911841;
 0.566237 0.315116 8.44034 -0.0939069 -0.21586 0.968118 -0.0856341;
 0.331222 0.436748 8.44238 -0.086829 -0.142637 0.980752 -0.101202;
 0.092363 0.556817 8.45906 -0.0415236 -0.19496 0.975644 -0.0915696;
 -0.0944323 0.64514 8.47029 -0.0186195 -0.278365 0.956701 -0.0830007;
 -0.398229 0.760202 8.46615 -0.00400823 -0.331642 0.940394 -0.0752182;
 -0.718972 0.858505 8.44382 0.0234081 -0.3061 0.949381 -0.0665663;
 -1.04518 0.949978 8.35538 0.129661 -0.172736 0.975327 -0.0456958;
 -1.18029 0.981857 8.30891 0.143897 -0.142062 0.978308 -0.044996;
 -1.57522 1.02499 8.18832 0.207529 0.149348 0.966031 -0.0375642;
 -1.82139 1.00078 8.10214 0.128777 0.14692 0.980101 -0.0351103;
 -1.93916 0.968446 8.07021 0.0977056 0.156588 0.982432 -0.0275884;
 -2.05888 0.904844 8.06337 0.104037 0.272745 0.955957 -0.0305359;
 -2.0978 0.812675 8.0933 0.131662 0.306475 0.941727 -0.0434488;
 -2.09953 0.742397 8.10272 0.159191 0.312778 0.934914 -0.0525718;
 -2.04597 0.623811 8.11107 0.189105 0.313462 0.928534 -0.0616839;
 -1.93958 0.465623 8.12572 0.200876 0.30601 0.928098 -0.0681256;
 -1.78964 0.288268 8.13451 0.201903 0.299245 0.929759 -0.072356;
 -1.6804 0.164172 8.13936 0.159518 0.215351 0.960171 -0.0790606;
 -1.48517 -0.0434375 8.15632 0.0228781 0.196295 0.978205 -0.0637127;
 -1.29641 -0.216455 8.18361 0.0408942 0.22089 0.972978 -0.0533727;
 -1.0819 -0.385378 8.21068 -0.0794498 0.15785 0.982194 -0.0637598;
 -0.885058 -0.515736 8.23712 0.00682283 0.0655986 0.99637 -0.0538315;
 -0.761455 -0.594244 8.2522 -0.00686461 0.0574114 0.996738 -0.0562998;
 -0.56996 -0.715259 8.29475 0.0692372 0.0153892 0.995563 -0.0618415;
 -0.404983 -0.82752 8.32937 -0.0311021 0.0268934 0.996322 -0.0751833;
 -0.264368 -0.918672 8.35777 -0.0730864 0.179423 0.979296 -0.0586988;
 -0.110586 -0.982304 8.38048 -0.168584 0.231132 0.957367 -0.0400792;
 0.0904389 -1.01172 8.407 -0.219628 0.262206 0.938718 -0.0426524;
 0.312508 -0.991276 8.43457 -0.140551 0.125651 0.981483 -0.0339031;
 0.452255 -0.965349 8.46045 -0.120912 0.129763 0.981878 -0.0667655;
 0.661641 -0.913602 8.48303 -0.15801 0.188818 0.967192 -0.0626034;
 0.794941 -0.874841 8.48743 -0.18357 0.213188 0.958097 -0.0538861;
 1.01621 -0.786948 8.51602 -0.193745 0.180859 0.96395 -0.0235155;
 1.25913 -0.669011 8.53278 -0.0667116 0.0275755 0.996964 -0.0291841;
 1.4665 -0.563584 8.4853 0.0596731 -0.0762622 0.994133 -0.048201;
 1.65494 -0.462212 8.385 -0.0228735 -0.188439 0.977482 -0.0921743;
 1.76683 -0.374273 8.30531 -0.113706 -0.269337 0.951884 -0.091897;
 1.8139 -0.29818 8.23933 -0.156872 -0.257407 0.948137 -0.100841;
 1.81967 -0.130565 8.17614 -0.0951023 -0.177838 0.974818 -0.0951812;
 1.76207 0.0231862 8.19718 -0.0765869 -0.232307 0.965318 -0.0912617;
 1.65371 0.175668 8.22285 -0.0799946 -0.308097 0.943593 -0.0911595;
 1.50491 0.317199 8.22806 -0.0602881 -0.348721 0.931467 -0.0844259;
 1.36944 0.408579 8.23414 -0.0453978 -0.359287 0.928743 -0.0793027;
 1.08338 0.559333 8.24075 -0.0267859 -0.367641 0.926748 -0.0725254;
 0.761821 0.68338 8.24356 0.014955 -0.278805 0.958118 -0.0636715;
 0.527935 0.760898 8.24756 0.0560405 -0.207398 0.973767 -0.07499;
 0.262387 0.831468 8.26605 0.0787652 -0.169471 0.980011 -0.0682212;
 -0.0864624 0.903834 8.29293 0.0761129 -0.136596 0.98511 -0.0714669;
